股票,行业,alpha,alpha_p,beta,beta_ci_lower,beta_ci_upper,R2,nobs
比亚迪,新能源汽车,0.0010662926743983995,0.0636028121225066,1.2738812090038252,1.178726611319924,1.3690358066877264,0.3091445150947293,1543
长城汽车,新能源汽车,0.00039503602537815615,0.5280452187704997,1.1757257517697193,1.0720413956026322,1.2794101079368063,0.2430216973408097,1543
贵州茅台,白酒,9.800152056880398e-05,0.7690068799735611,0.9636744034065603,0.9084043390812463,1.0189444677318744,0.4315036171541774,1543
五粮液,白酒,-0.0002703474282480302,0.493562545942112,1.2737983852260593,1.2084029654879032,1.3391938049642154,0.4864656910787132,1543
中国石油,能源,0.0005290905977716139,0.23962170413896597,0.4481219007937605,0.37361799106281,0.522625810524711,0.08284266871951496,1543
中国神华,能源,0.0007974220578462651,0.08512382696434793,0.4019981095770562,0.32532364273788056,0.4786725764162318,0.06422359473571515,1543
中国移动,通信,0.0005999996559392096,0.21471220186112477,0.05664924125568503,-0.022969058786472846,0.1362675412978429,0.001845922870046035,1056
中兴通讯,通信,-5.419080029213166e-05,0.9242825511236212,1.2490036974234062,1.15456616936379,1.3434412254830224,0.30397559730256907,1543
顺丰控股,物流,-6.180284160910629e-05,0.8897081957988142,0.8639793067167099,0.7901646226107341,0.9377939908226857,0.25487459514682764,1543
圆通速递,物流,0.0002224611352662565,0.6785593641121052,0.8137129106831432,0.7248091621478086,0.9026166592184779,0.17297947781872003,1543
