股票,行业,年化均值(%),年化波动率(%),偏度,峰度,最大回撤(%),观测天数
比亚迪,新能源汽车,36.203,46.8863,0.2731,1.569,-56.0506,1056
长城汽车,新能源汽车,27.5659,50.6564,0.4272,1.2407,-75.9497,1056
顺丰控股,物流,0.1265,35.3278,0.4589,2.7323,-75.1919,1056
圆通速递,物流,7.9393,38.7915,0.6901,2.6245,-52.9497,1056
贵州茅台,白酒,11.5055,29.1601,-0.0245,2.3549,-51.7136,1056
五粮液,白酒,5.1316,37.1821,-0.1504,1.9554,-68.8963,1056
中国石油,能源,16.799,28.735,0.3817,4.4358,-33.5944,1056
中国神华,能源,26.1597,31.9076,0.2525,3.193,-23.5252,1056
中国移动,通信,16.8288,24.9392,0.602,4.9824,-19.5974,1056
中兴通讯,通信,-4.3072,41.1259,0.3151,2.4485,-69.838,1056
